Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000288495, 0.000198651, 8.8904e-05, 0, 4440, 2659, 0
0.000297967, 0.000203912, 9.3135e-05, 0, 4428, 2678, 0
0.000290535, 0.000198791, 9.0834e-05, 0, 4475, 2695, 0
0.000332352, 0.000225705, 0.000105427, 0, 4428, 2678, 0
0.000293796, 0.000199942, 9.2754e-05, 0, 4466, 2685, 0
0.000278763, 0.00019104, 8.6593e-05, 0, 4440, 2639, 0
0.000284645, 0.000194861, 8.8184e-05, 0, 4424, 2632, 0
0.000293146, 0.000198181, 9.3864e-05, 0, 4456, 2677, 0
0.000283545, 0.000192481, 8.9774e-05, 0, 4411, 2628, 0
0.000284465, 0.000195581, 8.8114e-05, 0, 4437, 2656, 0
